,Host Id,Host Since,Name,Borough,Property Type,Review Scores Rating (bin),Room Type,Zipcode,Beds,Number of Records,Number Of Reviews,Price,Review Scores Rating
880,135018,2010-05-30,One BR in awesome location,Manhattan,Apartment,,Private room,10012.0,1.0,1,0,100,
19067,14017223,2014-04-07,Hipster 2 bedroom with a view.,Brooklyn,Apartment,85.0,Entire home/apt,11249.0,2.0,1,6,195,87.0
8700,3317183,2012-08-20,Secret Garden,Brooklyn,House,85.0,Entire home/apt,11216.0,5.0,1,53,85,88.0
25280,25346911,2014-12-29,Harlem Studio - 24hr Drmn - Terrace,Manhattan,Apartment,,Entire home/apt,10037.0,1.0,1,0,275,
1140,191173,2010-08-04,Chelsea 4BR Loft A+ Location!,Manhattan,Apartment,90.0,Entire home/apt,10011.0,4.0,1,17,399,91.0
3496,908514,2011-08-02,Modern 1 BR + terrace in Gramercy,Manhattan,Apartment,100.0,Entire home/apt,10010.0,1.0,1,5,165,100.0
13334,6519939,2013-05-22,"Chelsea, duplex, 2 bed&private bath",Manhattan,Apartment,,Private room,10001.0,2.0,1,0,250,
25012,24836295,2014-12-14,NYC is nearby....or explore S.I.,Staten Island,Other,,Private room,10308.0,1.0,1,0,95,
8844,3392309,2012-08-27,Studio in Astoria,Queens,Apartment,,Private room,11102.0,1.0,1,0,150,
12879,6167299,2013-04-30,Sunny Bedroom Suite in Greenpoint,Brooklyn,Apartment,100.0,Private room,11222.0,1.0,1,6,79,100.0
10969,4540090,2012-12-31,Garden Apartment in Park Slope,Brooklyn,Apartment,95.0,Entire home/apt,11215.0,2.0,1,11,120,98.0
24329,23847934,2014-11-17,Super Little Italy (sleeps 4),Manhattan,Apartment,,Private room,10013.0,2.0,1,1,165,
15671,9081116,2013-09-27,Spacious and Private Basement Apt,Queens,House,80.0,Entire home/apt,11375.0,1.0,1,2,85,80.0
5709,1763009,2012-02-16,Charming 1BR Brownstone Apartment,Brooklyn,Apartment,90.0,Entire home/apt,11238.0,1.0,1,4,120,93.0
11288,4820762,2013-01-23,Spacious Room w/ Private Bathroom,Brooklyn,House,95.0,Private room,11226.0,1.0,1,8,99,98.0
10585,4349021,2012-12-07,Beautiful studio w/ view in Wall st,Manhattan,Apartment,85.0,Entire home/apt,10006.0,1.0,1,14,199,88.0
17749,11394444,2014-01-17,Big room in Brooklyn 20 min to Manh,Brooklyn,Apartment,85.0,Private room,11204.0,1.0,1,31,60,88.0
27692,33386619,2015-05-14,New modern spacious off big street,Queens,Apartment,90.0,Shared room,11105.0,1.0,1,3,75,93.0
595,76573,2010-02-02,Room in Charming Williamsburg Apt,Brooklyn,Apartment,95.0,Private room,11211.0,1.0,1,8,95,98.0
20896,17384869,2014-06-29,Private Room * Fancy Hostel Style B,Manhattan,Apartment,90.0,Private room,10003.0,1.0,1,4,99,90.0
6958,2363997,2012-05-13,NYC studio in ST MARKS PLACE & 1AVE,Manhattan,Apartment,100.0,Entire home/apt,10009.0,2.0,1,6,160,100.0
25038,24861687,2014-12-15,*Sunny Bedroom in Lovely Townhouse*,Brooklyn,Townhouse,,Private room,11238.0,1.0,1,0,100,
21372,18183144,2014-07-16,"Prospect Park South, Gay Friendly!",Brooklyn,Apartment,100.0,Private room,11218.0,1.0,1,3,125,100.0
14708,7898374,2013-08-02,Perfect Bedroom in Bushwick,Brooklyn,Apartment,60.0,Private room,11206.0,1.0,1,1,75,60.0
10185,4170454,2012-11-17,Comfy/cosy Williamsburg Apartment,Brooklyn,Apartment,100.0,Private room,11211.0,1.0,1,10,90,100.0
27684,33355812,2015-05-14,Beautiful Room in Bed Stuy,Brooklyn,Apartment,,Private room,11233.0,1.0,1,0,86,
25478,25821864,2015-01-08,PRIVATE SUNNY ROOM IN BUSHWICK!,Queens,Apartment,90.0,Private room,11385.0,1.0,1,3,60,90.0
29964,40693445,2015-08-06,One Bedroom Apartment 28th and 2nd,Manhattan,Apartment,80.0,Entire home/apt,10016.0,2.0,1,1,145,80.0
24902,24724626,2014-12-11,Specious studio / Best Location NY,Manhattan,Apartment,80.0,Entire home/apt,10003.0,2.0,1,30,100,80.0
9988,4094309,2012-11-08,LARGE 2 Bdrm; Sprawling Digs; UES,Manhattan,Apartment,75.0,Entire home/apt,10065.0,3.0,1,13,235,76.0
7182,2483350,2012-05-28,2 rooms apt in Greenpoint Brooklyn,Brooklyn,Apartment,95.0,Entire home/apt,11222.0,2.0,1,5,120,95.0
23150,21812792,2014-09-26,Private Room in W'burg Penthouse,Brooklyn,Apartment,90.0,Private room,11211.0,1.0,1,9,95,93.0
13477,6667632,2013-05-31,"1bd, Greenpoint, Brooklyn.",Brooklyn,Apartment,95.0,Private room,11222.0,1.0,1,36,70,95.0
23319,22133696,2014-10-04,Semi-private share,Manhattan,Apartment,95.0,Shared room,10028.0,1.0,1,12,86,95.0
27107,31530707,2015-04-19,Huge Washington Heights Apartment,Manhattan,Apartment,,Entire home/apt,10032.0,3.0,1,1,155,
13136,6388335,2013-05-14,"1BR Apt. in Harlem, Great Location",Manhattan,Apartment,90.0,Entire home/apt,10027.0,1.0,1,6,115,90.0
14946,8188668,2013-08-15,"LARGE 2 BRDRM COZY APARTMENT, UWS",Manhattan,Apartment,100.0,Entire home/apt,10025.0,2.0,1,7,250,100.0
20538,16862311,2014-06-16,Perfect bedroom–unbeatable location,Brooklyn,Apartment,95.0,Private room,11211.0,1.0,1,40,135,99.0
3628,957104,2011-08-11,Vibrant Two Bedroom Gramercy Park,Manhattan,Apartment,75.0,Entire home/apt,10010.0,4.0,1,21,339,76.0
1155,192154,2010-08-05,Sophisticated Apt.in Prime location,Manhattan,Apartment,95.0,Entire home/apt,10014.0,1.0,1,27,305,96.0
14128,7283256,2013-07-04,"Airy, Open South Williamsburg Apt",Brooklyn,Apartment,,Private room,11249.0,1.0,1,0,125,
28196,35014659,2015-06-04,Colorful and Funky Bohemian Home,Manhattan,Apartment,,Entire home/apt,10023.0,1.0,1,0,198,
6318,2061760,2012-04-03,Spacious apt in Brooklyn townhouse,Brooklyn,House,95.0,Entire home/apt,11221.0,4.0,1,61,150,95.0
9445,3775535,2012-10-06,very beautiful and bright room!,Brooklyn,Apartment,,Private room,11205.0,1.0,1,1,62,
26009,27496900,2015-02-09,Rock and Roll 1 bedroom,Manhattan,Apartment,100.0,Entire home/apt,10003.0,2.0,1,2,200,100.0
6538,2156913,2012-04-17,NYC Astoria + Cozy Room + Space,Queens,Apartment,,Private room,11103.0,1.0,1,0,65,
20049,15976020,2014-05-25,Spacious double room Upper Westside,Manhattan,Apartment,,Private room,10027.0,1.0,1,0,75,
893,137974,2010-06-03,FLAT MACDONOUGH,Brooklyn,Apartment,90.0,Entire home/apt,11233.0,2.0,1,107,125,91.0
29984,40789194,2015-08-07,Williamsburg Luxury Apartment!,Brooklyn,Apartment,,Entire home/apt,11211.0,1.0,1,0,155,
23055,21692962,2014-09-23,Entire humongous- Cozy one bedroom!,Brooklyn,Apartment,70.0,Entire home/apt,11225.0,4.0,1,3,96,70.0
106,9744,2009-03-10,"Gorgeous Room #1, Best Location",Brooklyn,House,90.0,Private room,11215.0,2.0,1,118,89,92.0
10254,4201769,2012-11-20,Private Room - Beautiful Townhouse,Manhattan,Apartment,,Private room,10016.0,1.0,1,0,160,
25091,24967136,2014-12-18,1 bedroom Apt upto 4 ppl,Brooklyn,Apartment,80.0,Entire home/apt,11233.0,2.0,1,1,150,80.0
23897,23199907,2014-11-01,Big Sunny Loft Style Garden Apt,Brooklyn,Apartment,95.0,Entire home/apt,11237.0,1.0,1,24,90,98.0
26972,31044879,2015-04-11,Sunny room 12 min. to Manhattan,Queens,Apartment,95.0,Private room,11377.0,1.0,1,13,80,95.0
